user_genome	classification
S_ERR13594514_bin.4	Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum
S_ERR13594517_bin.2	Bacteria;Bacillota;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium_A;Phascolarctobacterium_A succinatutens_B
S_ERR13594520_bin.1	Bacteria;Bacillota;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium_A;Phascolarctobacterium_A succinatutens_B
S_ERR13594520_bin.2	Bacteria;Bacillota;Clostridia;Oscillospirales;Oscillospiraceae;CAG-103;CAG-103 sp900543625
S_ERR13594520_bin.3	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp000434975
S_ERR13594520_bin.4	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp003447235
S_ERR13594522_bin.3	Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium adolescentis
S_ERR13594524_bin.8	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Duodenibacillus;Duodenibacillus sp900544335
S_ERR13594527_bin.2	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella copri_K
S_ERR13594527_bin.3	Bacteria;Bacillota;Clostridia;Oscillospirales;Acutalibacteraceae;Fimenecus;Fimenecus sp000432435
S_ERR13594528_bin.2	Bacteria;Bacillota;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium_A;Phascolarctobacterium_A succinatutens_B
S_ERR13594529_bin.1	Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Anaerovibrio;Anaerovibrio sp900548165
S_ERR13594529_bin.2	Bacteria;Bacillota;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium_A;Phascolarctobacterium_A succinatutens_B
S_ERR13594529_bin.3	Bacteria;Bacillota;Negativicutes;Veillonellales;Dialisteraceae;Dialister;Dialister sp000434475
S_ERR13594530_bin.10	Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Agathobacter;Agathobacter rectalis
S_ERR13594530_bin.11	Bacteria;Bacillota;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcus_C;Ruminococcus_C callidus
S_ERR13594530_bin.2	Bacteria;Bacillota;Clostridia;Oscillospirales;Acutalibacteraceae;CAG-217;CAG-217 sp000436335
S_ERR13594530_bin.3	Bacteria;Bacillota;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;Faecalibacterium prausnitzii
S_ERR13594530_bin.5	Bacteria;Bacillota;Clostridia;Peptostreptococcales;Anaerovoracaceae;Mogibacterium_A;Mogibacterium_A kristiansenii
S_ERR13594530_bin.6	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp002265625
S_ERR13594530_bin.7	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Alloprevotella;Alloprevotella sp900543155
S_ERR13594530_bin.8	Bacteria;Bacillota;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium_A;Phascolarctobacterium_A succinatutens_B
S_ERR13594531_bin.4	Bacteria;Bacillota;Clostridia;Oscillospirales;Oscillospiraceae;F23-B02;F23-B02 sp002472405
S_ERR13594531_bin.5	Bacteria;Bacillota;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;Faecalibacterium prausnitzii
S_ERR13594531_bin.7	Bacteria;Bacillota;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium_A;Phascolarctobacterium_A succinatutens_B
S_ERR13594532_bin.1	Bacteria;Bacillota;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium_A;Phascolarctobacterium_A succinatutens_B
S_ERR13594532_bin.3	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp900552515
S_ERR13594532_bin.4	Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;CAG-590;
S_ERR13594533_bin.1	Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Anaerovibrio;Anaerovibrio sp900548165
S_ERR13594534_bin.3	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella copri_K
S_ERR13594535_bin.2	Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Acetatifactor;Acetatifactor hominis
S_ERR13594535_bin.3	Bacteria;Bacillota;Clostridia;Oscillospirales;Ruminococcaceae;Gemmiger;Gemmiger sp900540595
S_ERR13594536_bin.1	Bacteria;Bacillota;Clostridia;Oscillospirales;Acutalibacteraceae;CAG-177;CAG-177 sp003514385
S_ERR13594536_bin.4	Bacteria;Bacillota;Clostridia;Oscillospirales;Oscillospiraceae;Hominicoprocola;Hominicoprocola fusiformis
S_ERR13594537_bin.1	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp002265625
S_ERR13594537_bin.3	Bacteria;Bacillota;Negativicutes;Veillonellales;Dialisteraceae;Dialister;Dialister sp000434475
S_ERR13594538_bin.1	Bacteria;Bacillota;Clostridia;Oscillospirales;Acutalibacteraceae;CAG-177;CAG-177 sp003514385
S_ERR13594538_bin.2	Bacteria;Bacillota;Clostridia;Oscillospirales;Acutalibacteraceae;Fimenecus;Fimenecus sp000432435
S_ERR13594538_bin.3	Bacteria;Bacillota;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Absicoccus;Absicoccus sp000434355
